#Manually made lookup from author provided info to the canonical institute name.,
#The order matters here, the matching starts at the top of the list and stops when something is found.
#Ignore The, so The University of Bristol is University of Bristol.
#Group alphabetically by the main name, so all variations of Bristol should be in B.
#,
#Do email addresses first - they are much more structured than postal addresses, and usually people have one.
Retina Foundation of the Southwest,Retina Foundation of the Southwest
#S,
Dialectical Behavior Therapy Center of Seattle,Dialectical Behavior Therapy Center of Seattle
Hospital de Santa Creu i Sant Pau,Hospital de Santa Creu i Sant Pau
University of Saskatchewan,University of Saskatchewan
University Hospital Schleswig-Holstein,University Hospital Schleswig-Holstein
Scripps Translational Science Institute,Scripps Translational Science Institute
University of South Australia,University of South Australia
University of South Carolina,University of South Carolina
Shanghai Jiaotong University,Shanghai Jiao Tong University
Shanghai Jiao Tong University,Shanghai Jiao Tong University
Sheri-Kashmir Institute of Medical Sciences,Sheri-Kashmir Institute of Medical Sciences
Genome Institute of Singapore,Genome Institute of Singapore
National University of Singapore,National University of Singapore
"Department of Ophthalmology, National University of Singapore and National University Health System","National University of Singapore"
University of Split,University of Split
Stanford University,Stanford University
University of Stockholm,University of Stockholm
Stony Brook University,Stony Brook University
Sun Yat-Sen University,Sun Yat-Sen University
Swiss Tropical and Public Health Institute,Swiss Tropical and Public Health Institute
University of Sydney,University of Sydney
Syracuse University,Syracuse University
University of Seville,University of Seville
Seoul National University,Seoul National University
IdISSC,Health Research Institute of the Hospital Clínico San Carlos
Saarland University Hospital,Saarland University
"Smith College, Northampton, MA",Smith College
University of Social Welfare and Rehabilitation Sciences,University of Social Welfare and Rehabilitation Sciences
Casa Sollievo della Sofferenza,Casa Sollievo della Sofferenza
#T,
University of Tampere,University of Tampere
The University of Texas,The University of Texas
Tilburg University,Tilburg University
University of Toronto,University of Toronto
Rotman Research Institute,University of Toronto
University of Trieste,University of Trieste
"Trinity College, Dublin","Trinity College, Dublin"
University of Tsukuba,University of Tsukuba
Tulane University,Tulane University
University of Texas Health Science Center,University of Texas Health Science Center at San Antonio
Tabriz University of Medical Sciences,Tabriz University of Medical Sciences
#U,
Umeå University,Umeå University
University Medical Centre Utrecht,University Medical Center Utrecht
Uppsala University,Uppsala University
Utrecht University,Utrecht University
#V,
Vanderbilt University,Vanderbilt University
Vanda Pharmaceuticals Inc,Vanda Pharmaceuticals Inc.
University of Victoria,University of Victoria
Virginia Commonwealth University,Virginia Commonwealth University
University of Virginia,University of Virginia
VU University,Vrije Universiteit Amsterdam
#W,
University of Washington,University of Washington
Medical University of Warsaw,Medical University of Warsaw
Washington University,Washington University
Wayne State University,Wayne State University
University of Wrocław,University of Wrocław
Medical College of Wisconsin,Medical College of Wisconsin
Wake Forest University,Wake Forest University
World Health Organization,World Health Organization
#Y,
Yale University,Yale University
Yamagata University,Yamagata University
Yongin University,Yong In University
,
#Companoes,
Perspectum,Perspectum
,
#Some special ALSPAC munging,
Oakfield Grove,University of Bristol
Canynge Hall,University of Bristol
Tyndall Avenue,University of Bristol
BS8 1TQ,University of Bristol
"Unit of Paediatric and Perinatal Epidemiology, Institute of Child Health, Bristol",University of Bristol
"School of Social and Community Medicine, Bristol",University of Bristol
School of Social and Community Medicine and.,University of Bristol
,
#Some NSHD munging,
MRC National Survey of Health and Development,University College London
,
#Some UCL munging,
WC1N 1EH,University College London
